' Title Id;Description;Product code;Company Code;Notes;Versions;Region;Available on cdn;ico file Id;Native Resolution; Native Fps; Cap effect (NOEF, SYNCSCR, SYNCSCR)
'00050000101E5E00';Chasing Dead;wup-p-wzhp;-;-;-;eur;yes;'000500001017E400';720;60;SYNCSCR
'00050000101E6200';Shooting Range By Thornbury Software;wup-n-aaze;-;-;-;usa;yes;'00050000101E6200';720;60;SYNCSCR
'00050000101E6300';Archery By Thornbury Software;wup-n-aa2e;-;-;-;usa;yes;'00050000101E6300';720;60;SYNCSCR
'00050000101E6500';Excitebike 64;wup-n-nate;-;-;-;eur,usa;yes;'00050000101E6500';720;60;SYNCSCR
'00050000101E6700';Ogre Battle 64-Person Of Lordly Caliber;wup-n-naue;-;-;-;eur,usa;yes;'00050000101E6700';720;60;SYNCSCR
'00050000101E6800';Girls Mode;wup-n-da6j;-;-;-;jpn;yes;'00050000101E6800';720;60;SYNCSCR
'00050000101E6900';Style Savvy;wup-n-da6e;-;-;-;usa;yes;'00050000101E6900';720;60;SYNCSCR
'00050000101E6A00';Nintendo Presents-Style Boutique;wup-n-da6p;-;-;-;eur;yes;'00050000101E6A00';720;60;SYNCSCR
'00050000101E6E00';Picross 3D;wup-n-da8p;-;-;-;eur;yes;'00050000101E6E00';720;60;SYNCSCR
'00050000101E7000';Pokemon Ranger-Guardian Signs;wup-n-da9e;-;-;-;usa;yes;'00050000101E7000';720;60;SYNCSCR
'00050000101E7100';Pokemon Ranger-Guardian Signs;wup-n-da9p;-;-;-;eur;yes;'00050000101E7000';720;60;SYNCSCR
'00050000101E7300';The Deer God;wup-n-aa3e;-;-;-;usa;yes;'00050000101E7300';720;60;SYNCSCR
'00050000101E7400';Grumpy Reaper;wup-p-agqp;-;-;-;eur;yes;'00050000101D4500';720;60;SYNCSCR
'00050000101E7500';Dragon Skills;wup-p-bd5p;-;-;-;eur;yes;'00050000101D9100';720;60;SYNCSCR
'00050000101E7800';Skeasy;wup-n-ayke;-;-;-;usa;yes;'00050000101E7800';720;60;SYNCSCR
'00050000101E7900';Splashy Duck;wup-n-avle;-;-;-;usa;yes;'00050000101B5E00';720;60;SYNCSCR
'00050000101E7B00';Asdivine Hearts;wup-n-ab8e;-;-;-;usa;yes;'00050000101E7B00';720;60;SYNCSCR
'00050000101E7C00';Tap Tap Arcade;wup-p-btap;-;-;-;eur;yes;'00050000101E7C00';720;60;SYNCSCR
'00050000101E7D00';Tap Tap Arcade;wup-n-btae;-;-;-;usa;yes;'00050000101E7C00';720;60;SYNCSCR
'00050000101E7E00';Touch Selections;wup-p-btjp;-;-;-;eur;yes;'00050000101E7E00';720;60;SYNCSCR
'00050000101E7F00';Touch Selections;wup-n-btje;-;-;-;usa;yes;'00050000101E7E00';720;60;SYNCSCR
'00050000101E8000';FreezeME;wup-p-af4p;-;-;-;eur;yes;'00050000101D5F00';720;30;SYNCSCR
'00050000101E8300';Discovery;wup-p-adup;-;-;-;eur;yes;'00050000101D9B00';720;60;SYNCSCR
'00050000101E8500';Temple Of Yog;wup-p-btyp;-;-;-;eur;yes;'0005000010189A00';720;60;SYNCSCR
'00050000101E8800';Color Bombs;wup-p-bw2p;-;-;-;eur;yes;'00050000101ABB00';720;60;SYNCSCR
'00050000101E8900';Sudoku And Permudoku;wup-p-bpjp;-;-;-;eur;yes;'00050000101E8900';720;60;SYNCSCR
'00050000101E8A00';Ascent Of Kings;wup-p-aksp;-;-;-;eur;yes;'00050000101D6300';720;60;SYNCSCR
'00050000101E8B00';Kung Fu FIGHT;wup-p-ak2p;-;-;-;eur;yes;'00050000101D6400';720;60;SYNCSCR
'00050000101E8D00';Futuridium EP Deluxe;wup-p-bepp;-;-;-;eur;yes;'00050000101E8D00';720;60;SYNCSCR
'00050000101E8E00';Futuridium EP Deluxe;wup-n-bepe;-;-;-;usa;yes;'00050000101E8D00';720;60;SYNCSCR
'00050000101E9300';Gear Gauntlet;wup-n-bgge;-;-;-;usa;yes;'00050000101E9300';720;60;SYNCSCR
'00050000101E9400';Gear Gauntlet;wup-p-bggp;-;-;-;eur;yes;'00050000101E9300';720;60;SYNCSCR
'00050000101E9500';Humanitarian Helicopter;wup-n-bhhe;-;-;-;usa;yes;'00050000101E9500';720;60;SYNCSCR
'00050000101E9700';U Host;wup-p-auhp;-;-;-;eur;yes;'0005000010183400';720;60;SYNCSCR
'00050000101E9A00';Astral Breakers;wup-n-bs6j;-;-;-;jpn;yes;'00050000101BBC00';720;60;SYNCSCR
'00050000101E9B00';Ninja Pizza Girl;wup-n-anpj;-;-;-;jpn;yes;'0005000010196000';720;60;SYNCSCR
'00050000101E9F00';The Book Of Unwritten Tales 2;wup-p-butp;-;-;-;eur;yes;'00050000101E9F00';720;60;SYNCSCR
'00050000101EA000';Lego;wup-n-blgj;-;-;-;jpn;yes;'0005000010192100';720;30;SYNCSCR
'00050000101EA100';Lego;wup-n-alrj;-;-;-;jpn;yes;'0005000010192100';720;30;SYNCSCR
'00050000101EA200';The Book Of Unwritten Tales 2;wup-n-bute;-;-;-;usa;yes;'00050000101E9F00';720;60;SYNCSCR
'00050000101EA500';Noitu Love-Devolution;wup-n-akle;-;-;-;usa;yes;'00050000101EA500';720;60;SYNCSCR
'00050000101EAA00';Just Dance 2017;wup-p-bj7p;-;-;-;eur;yes;'00050000101EAA00';720;60;SYNCSCR
'00050000101EAB00';Dreamals;wup-p-wrlp;-;-;-;eur;yes;'00050000101EAB00';720;60;SYNCSCR
'00050000101EAE00';Lucentek Beyond;wup-p-wlbe;-;-;-;usa;yes;'00050000101EAE00';720;60;SYNCSCR
'00050000101EAF00';Color Symphony 2;wup-n-wcye;-;-;-;usa;yes;'00050000101EAF00';720;60;SYNCSCR
'00050000101EB200';Just Dance 2017;wup-n-bj7e;-;-;-;usa;yes;'00050000101EAA00';720;60;SYNCSCR
'00050000101EB300';The Beggar s Ride;wup-n-wtre;-;-;-;usa;yes;'00050000101EB300';720;60;SYNCSCR
'00050000101EB400';Volcanic Field 2;wup-n-wvfe;-;-;-;usa;yes;'00050000101EB400';720;60;SYNCSCR
